Gene	D10_oocyte	D14_oocyte	8w_oocyte	MII_oocyte	PN5_zygote	2cell_early	2cell_late	4cell	8cell	ICM
Plekha6	2.71802	2.49021	4.06103	4.38863	2.98385	4.17636	2.29553	0.894901	0.94003	0.600728
Gm19461	1.2703	1.11649	3.32214	1.46754	2.94022	4.5818	1.36052	0.0601417	0	0.196831
Zc3h11a	11.9318	9.60369	8.254	15.6483	14.1389	5.7362	11.522	21.5163	19.3432	25.3299
Zbed6	0.174715	0.115635	0.0300701	0.0258163	0.100756	0.332577	1.33327	2.20556	1.53779	4.65617
Lax1	0	0	0	0	0.0343579	0.0417825	0	0.0858839	0	0
Prelp	9.14843	11.1934	11.1359	6.87877	13.4253	13.6302	6.76822	1.70232	0.705324	0.0257731
Fmod	0	0	0	0	0.0264847	0	0	0	0	0
Btg2	5.58864	5.05247	8.42824	2.96558	5.84435	6.2287	7.64061	2.15738	0.418488	0.566084
Optc	0	0	0.0820351	0	0.0780151	0.052435	0	0.0982027	0	0
Chil1	0	0	0	0	0	0	0.029071	0	0	2.74484
Atp2b4	0.105274	0.261163	0.308212	0.9041	0.786051	0.628751	0.407142	0.264834	0.226297	0.560012
Mir6903	0	0	0	0	0	0	0	0	0	0
Myog	0	0	0	0	0	0.0233024	0	0	0	0
Ppfia4	0.0760053	0.0825126	0.104271	0.0210779	0.0117472	0.00952377	0.0069737	0.219422	0.261407	0.0220806
Chit1	0.0432367	0.45355	1.50084	0.377973	1.09014	2.86664	15.9309	4.87507	0.475738	0.0335017
4933406M09Rik	0.075171	0	0	0.041174	0	0.0373988	0	0	0	0
Cyb5r1	0.876083	1.45399	0.321792	0.273707	0	0.124398	0.791957	4.64729	7.68468	36.1231
Mybph	0	0	0	0	0	0	0	0	0	0.112349
Adora1	0.0128426	0.0318807	0.0911725	0.0711315	0	0.070752	0.084804	0	0	4.745
Adipor1	13.8911	15.7951	8.20628	9.75041	4.38491	8.78369	19.5489	31.3224	23.0086	48.9964
Klhl12	20.8512	20.2635	14.007	11.2541	13.0693	9.14426	15.6058	36.1723	18.5047	15.8383
Rabif	38.6159	42.9377	41.8879	45.8339	65.2952	39.7269	35.9917	37.1314	47.4379	29.7522
Tmem183a	55.8307	49.2092	38.6584	7.0454	31.0342	36.9823	23.1018	25.0193	27.2392	42.8742
Kdm5b	0.986117	0.883591	0.937317	0.739508	1.05005	2.25413	45.7081	68.9143	55.4457	23.2332
Syt2	1.29929	1.59129	2.49068	3.44232	2.56921	1.3263	0.11742	0.150643	0.139739	0.0137892
Mgat4e	0	0	0	0	0	0.134092	0.928081	0.498674	0.0904169	0.119362
Lgr6	4.65944	3.63106	4.03366	2.15597	1.50901	1.57057	0.65416	0.0254287	0.0129749	0.0128008
Ppp1r12b	4.61204	4.88464	7.00433	5.51966	5.47089	3.72546	1.35335	1.05845	1.35512	1.08048
Ptpn7	0	0	0	0.0614335	0.0685904	0.18536	0.203775	0	0	0
Ptprv	0	0.0352827	0.0367188	0	0.0117207	0.0142535	0.020874	0	0.0223559	0.0440616
Arl8a	2.12922	2.89506	3.04236	2.11481	5.32082	3.31368	3.7728	1.03009	0.647903	1.83309
Gpr37l1	0.0282115	0.140272	0.0181671	0	0	0.0140703	0.082576	0	0.0663394	0
Ube2t	374.654	417.56	594.667	33.8254	212.199	71.8077	66.8145	90.1641	33.3803	19.5551
Timm17a	186.039	226.999	207.362	6.71694	59.732	51.3178	224.431	587.481	836.828	183.071
Lmod1	0	0	0	0	0	0.0226252	0.751459	0.347902	0.17754	0
Elf3	2.63532	8.68568	22.037	5.13	15.0873	14.4927	28.369	1.75875	16.7627	269.121
Shisa4	0.500312	0.54606	0.400864	0.271042	0.0762582	0.21638	0.22753	0.0959636	0	0
Ipo9	11.6568	12.0003	15.6238	3.95238	8.26844	8.34348	10.3961	7.92249	4.22654	18.4042
Nav1	1.12994	1.35495	2.02839	3.76648	3.20822	3.10094	5.92676	4.6161	3.60431	0.907636
Mir1231	0	0	0	0	0	0	0	0	0	0
Csrp1	3.87131	6.94454	2.73155	3.82918	5.21276	5.34803	1.40051	1.27085	27.182	12.4351
Rnpep	3.24637	7.4885	18.6015	25.0914	26.7077	34.9099	53.9989	93.7098	99.5942	40.2941
Phlda3	0	0	0	0	0	0	0	0	5.6403	1.5821
Lad1	0.102097	0.355074	0.289592	0.338109	0.201402	0.387793	0.0897682	0	0.705101	1.8984
Pkp1	0	0.0162629	0	0	0	0.0131224	0	0	0	0
Igfn1	0.119597	0.156144	0.0772455	0.0209777	0.0311584	0.00631526	0.00462282	0	0.00495087	0
Tnni1	0	0	0	0	0	0.149177	0.21989	0	0	0
Ascl5	0	0	0	0	0	0	0	0	0	0.167768
Tnnt2	0	0	0	0	0	0	0.182022	0	0	0
Gm15850	0	0	0	0	0	0	0	0	0	0
Tmem9	14.9293	20.8065	12.903	3.12599	4.25759	1.68304	0.278771	0.250073	0.223994	41.9821
Cacna1s	0	0.0115433	0	0	0	0	0	0.00716273	0.00731439	0.136962
Kif21b	0.328952	0.184753	0.887947	1.00324	0.898669	0.709897	0.378338	0.1147	0.00976353	0.860671
5730559C18Rik	0	0	0	0	0.0249802	0.0708822	0.103917	0.249387	0	0.235452
Gpr25	0	0.0413405	0.106956	0.0729692	0.163378	0.115897	0.0486079	0	0	0
Camsap2	4.14493	3.6338	5.29949	7.6897	9.53574	10.2915	14.8652	6.82835	1.1619	1.43215
Kif14	7.34218	4.67178	6.76745	12.035	12.1397	12.0836	8.83783	3.08101	0.835622	0.554019
9230116N13Rik	0.184099	0.11445	0	0.0337158	0.113182	0.0611724	0.0224435	0	0	0.023773
Ddx59	15.2334	14.5487	11.073	15.2563	16.2445	15.4241	13.4782	5.38402	2.50891	5.97878
Gm16880	0.49521	0.772081	0.277767	1.74429	0.603945	0.673229	5.3155	4.13202	0.0482662	0.767498
Gm19705	4.11157	3.93671	9.25412	0.985922	1.18455	1.86175	7.30391	0.75749	3.36056	2.33779
Mir181a-1	0	0	0	0	0	0	0	0	0	0
Mir181b-1	0	0	0	0	0	0	0	0	0	0
Nr5a2	5.66331	3.01492	4.20317	3.45902	4.91709	4.10584	24.9998	48.9326	40.6243	6.49204
Atp6v1g3	0	0.0432687	0	0	0	0.0173192	0	0	0	0
Zfp281	8.78854	6.7117	3.12456	0.96566	3.00514	5.0053	22.8384	16.9127	3.60527	12.6465
Ptprc	0	0.0139474	0	0	0	0	0	0	0	0.00870736
Gm5833	0	0.0421117	0.021787	0.148611	0.124791	0.118032	0.0990132	0	0	0
Nek7	7.1482	8.85407	8.94771	18.7095	14.6649	17.7442	8.67365	0.441106	0.745458	1.87375
2310009B15Rik	3.84447	4.05854	2.68788	0.653142	0.251373	0.508265	0.605975	0	1.95033	17.3482
Crb1	5.84266	2.93758	7.91082	3.87803	6.84917	6.12369	0.699192	0.182185	0.00978887	0.00965117
4933436E23Rik	0	0	0	0	0	0	0	0	0	0
Dennd1b	0.331135	0.201	0.122851	0.242544	0.226643	0.247351	0.351805	0.173592	0.742464	1.71345
4930596I21Rik	0	0	0	0	0	0	0	0	0	0
Lhx9	0	0.0160128	0	0	0	0.0452258	0	0.0238566	0	0
Zbtb41	3.15084	2.76269	2.41867	6.53129	4.99098	6.76263	11.0081	7.36716	1.39656	3.6877
Cfhr1	0	0	0	0	0	0	0	0	0	0
F13b	0	0.0988085	0.307253	0.787712	1.07649	0.396696	0.0193978	0	0	0.205323
Cfhr2	0	0.0529019	0	0	0.104183	0	0.0620491	0	0	0.0768331
Gm4788	0	0	0	0	0	0.0228001	0	0	0	0.0353678
Cfh	0.0269893	0	0.104489	0.0298853	0.150012	0.108106	0.366257	0.0519308	0	0.400759
Aspm	98.2214	115.904	128.075	23.5723	163.567	46.3885	5.87869	3.92748	1.59983	3.58999
Kcnt2	0.015007	0	0	0.016606	0	0	0.0550273	0	0	0
4930590L20Rik	0	0	0	0	0	0	0	0	0	0
Trove2	1.14423	0.604784	0.52487	0.635496	1.13837	0.75985	1.04084	0.435521	0.731203	1.04004
Cdc73	0.717169	0.603592	0.715584	0.91824	1.25409	1.38644	2.93115	5.94333	3.03072	2.97533
B3galt2	0	0.0159114	0.0330919	0.0568003	0.0633509	0.0449403	0.0376206	0.217084	0.191389	0.645581
Uchl5	18.2443	19.4149	21.7547	8.90872	17.8075	10.3775	13.3881	34.7508	39.9876	65.246
Rgs13	0	0	0	0	0	0	0	0	0	0
Glrx2	0.232728	0.722383	0.63395	0.135115	0.164124	0.274438	5.69474	8.93519	11.7265	7.95385
Rgs1	0	0	0	0	0	0	0	0	0	0
Rgs18	0	0	0	0	0	0	0	0	0	0
Rgs2	214.421	261.874	365.493	687.98	619.228	318.698	7.9391	1.21757	0.334407	0.896045
Rgs21	0	0	0	0	0	0	0	0	0	0
Mir7652	0	0	0	0	0	0	0	0	0	0
Ptgs2os	0	0	0	0	0	0	0	0	0	0
Ptgs2	0.428103	0.123994	0.0276204	0.0631832	0.140977	0.121437	0.0837305	0.164736	0	0.508547
Pla2g4a	0.0863922	0.0268294	0.16705	0.262119	0.18634	0.140279	0.0632872	0.0166143	0.152521	0
Ptgs2os2	0	0	0	0	0	0	0	0	0	0
Mdm4	167.646	169.358	224.455	261.219	257.463	283.012	321.551	124.038	12.8179	14.4654
Brinp3	0.201223	0.0555514	0.922192	2.49059	1.1296	1.8986	1.83418	0	0	0.017322
Hmcn1	0	0.0112917	0.00196154	0.00675443	0.0112797	0.0137172	0.113762	0.00935186	0	0.00940661
C730036E19Rik	0.258641	0.0876409	0.121208	0	0	0	0	0	0	0
Swt1	23.2697	26.9375	32.9095	44.9214	36.0774	34.4685	39.3256	69.1193	45.9453	12.8204
Pdc	0	0	0	0	0	0	0	0	0	0.138261
2310030A07Rik	0	0	0	0	0	0	0	0	0	0
Trmt1l	10.3984	11.3585	17.0514	11.6178	9.84435	2.42219	3.30507	6.04775	23.7316	9.9937
Mir7682	0	0	0	0	0	0	0	0	0	0
Fam129a	0.0452447	0.0748891	0.194585	0.216943	0.297924	0.347207	1.09494	0.812443	2.62976	36.8088
Edem3	2.30265	1.16423	0.970597	0.829244	0.462087	0.361559	1.39061	3.51211	3.09479	2.82052
Rnf2	89.7712	91.5791	65.1594	94.2346	114.144	120.245	84.5352	112.857	121.143	55.0588
1700025G04Rik	1.84284	1.58673	1.88958	2.36284	1.66943	1.6652	0.758253	0.209513	0.355181	0.928331
Tsen15	1.00479	0.167187	0.257468	0.0724378	0.326346	0.0992137	7.40338	20.5517	7.77629	16.248
Colgalt2	2.00153	2.73848	4.42997	1.4714	3.13895	4.34376	11.872	1.61907	0.22952	0.169777
Ivns1abp	13.4008	11.3186	7.10308	10.0047	9.94252	9.07156	27.8792	93.1195	205.539	152.916
Rgl1	0.657952	0.455888	1.6484	0.812608	0.887846	1.06439	1.55967	0.376806	0	0.106688
Apobec4	0	0	0	0	0	0.15202	0.957357	0.201509	0	0.0338773
Ncf2	0.0479333	0.0893366	0.030885	0.0264144	0.0590419	0.0358999	0.263251	0.0184335	0.808329	0.687034
Arpc5	24.8181	19.3473	13.7553	3.63998	9.21332	7.19403	24.9892	28.9584	33.8335	108.037
Nmnat2	1.67543	2.33735	2.3299	2.42861	1.7087	1.4113	1.35295	0.309888	0.0510228	0.845198
Lamc2	8.39646	7.1677	6.08506	2.13617	2.08933	1.22524	0.479679	0.390398	0.690892	1.75936
Lamc1	2.2024	1.59558	1.61302	1.38665	0.582859	0.423787	0.955466	0.195772	0.458712	20.9725
BC003331	6.11129	7.94116	4.23066	9.36438	6.93088	3.96891	3.65366	4.26849	11.7991	12.3585
Prg4	0.724368	0.437565	15.1869	13.5848	8.43219	7.1793	3.47502	0.498831	0.360769	0.218134
Tpr	18.3155	16.8595	9.30032	21.3306	17.9626	15.0726	33.478	78.1341	51.1462	41.4277
Shcbp1l	4.70931	4.28383	3.58051	11.6645	5.65307	4.6933	2.25372	0.242973	0.792346	0.489765
E330020D12Rik	9.1362	2.24373	1.58025	0.00800253	0.223503	0.119591	0.557939	0.457555	0.273194	0.134879
Npl	0.15084	0.250558	0.0322819	0.0547722	0	0.723025	152.295	488.402	255.619	204.231
Dhx9	0.661219	0.915332	0.336433	0.267616	0.486984	0.439386	5.34534	11.4657	9.1936	9.76408
Rgs8	0.059736	0.0617651	0.0257087	0.0110418	0	0.0149685	0	0	0.0156524	0
C230024C17Rik	0.0180873	0	0	0	0.0223135	0.0452254	0.132576	0.208751	0	0
Rgs16	0	0.0336397	0	0	0	0.270057	1.12912	0.582757	0	0.0209697
Rnasel	0	0	0.0158765	0	0.015198	0.0123214	0.00902476	0.151486	0.0289971	1.69625
Rgsl1	0.230137	0.449006	2.42269	1.12705	1.07527	1.00745	0.253098	0.0252987	0.0129087	0
Teddm2	0	0.15251	0.603928	0.223401	0.450795	0.588806	0	0	0	0
Teddm1b	0.107097	0.13308	0.130037	0.108919	0.116673	0.416398	0.337785	0.665279	0.859306	0.159568
Teddm1a	0	0	0	0	0	0	0	0	0	0
Zfp648	0	0	0	0	0	0	0	0	0	0
4930452N14Rik	0	0	0	0	0	0	0	0	0	0
4930532M18Rik	0	0	0	0	0	0	0	0	0	0
Cacna1e	0.0441292	0.0492509	0.111187	0.0637831	0.0928835	0.0487258	0.0389029	0.0271871	0	0
Ier5	0	0	0	0	0.0228172	0.12024	0.623644	0.0569283	0	0
Mr1	0.0249176	0	0.0160532	0.0274508	0	0.111945	0.364872	0	0	0
Stx6	14.3815	16.1608	20.8124	38.5595	18.9003	22.3607	12.4512	2.69641	1.19973	2.2423
Mir8114	0	0	0	0	0	0	0	0	0	0
Glul	2.67622	2.77955	1.32899	1.6213	2.08165	6.504	86.1709	123.347	87.1234	47.3147
Xpr1	0.841723	0.951715	1.23144	2.22064	1.55737	1.44938	4.03193	4.3846	10.21	2.11781
Smg7	9.42423	6.4062	3.8963	2.16206	4.20618	3.00475	8.22848	8.75272	10.3893	17.2025
Lhx4	0	0	0	0	0	0	0	0.218895	0	0
Cep350	0.794877	0.636261	0.50539	1.20184	1.00244	0.975247	1.35024	0.712547	0.287882	0.576679
Fam163a	0	0	0	0.0169058	0.0565921	0.0611743	0.392175	0.199899	0	0
Qsox1	12.4086	16.5181	7.00016	5.55267	5.04663	2.31505	6.38175	10.6248	0.865323	5.66747
Tdrd5	37.2677	32.3017	23.0556	4.18994	6.5229	1.62509	1.3515	1.11281	1.10539	0.448133
Acbd6	15.0298	13.4441	12.6332	7.99995	9.02677	19.3906	10.1078	2.13863	11.4176	5.25795
Nphs2	0.019571	0	0	0	0	0.0782658	0.0573667	1.0841	0.368668	0
Soat1	30.6799	25.6658	20.8582	15.9774	23.5006	11.1511	7.8042	9.04372	8.51216	15.6192
Tor3a	0.869975	0.528687	0.23871	0.0613509	0.296824	0.712673	14.0279	7.47689	0.973569	1.8571
Fam20b	2.38232	1.29696	0.512366	0.277624	0.189264	0.411501	5.56918	5.30213	3.74304	5.89307
Tex35	3.66355	5.17204	2.21846	0	2.49952	2.9474	0.81603	0.359633	0.0728824	0
Rasal2	0.96583	0.926238	1.06094	1.27917	0.722822	0.463458	0.420858	0.445372	0.371033	0.108752
2810025M15Rik	6.16314	8.15333	11.1336	5.3968	5.20027	13.34	11.0968	14.5203	28.3708	69.2595
Abl2	6.03602	6.02626	8.69552	17.3831	18.3321	15.6771	23.4187	8.58317	1.35082	1.62406
BC026585	0.280866	0.210069	0.036037	0	0	0	2.86417	0.905424	2.14811	6.92104
Brinp2	0.534132	0.573431	0.800971	0.0479347	0.303046	0.433567	0.0105877	0	0	0
Tor1aip1	3.35919	3.6384	3.82319	9.86356	3.68991	2.46453	30.3836	50.0536	15.6292	7.11182
Tor1aip2	7.99832	5.67149	3.37988	3.81777	2.08777	4.87103	34.5734	27.2032	43.6702	53.3698
Astn1	0.0158714	0.0196886	0.345018	0.53744	0.520339	0.3343	0.0699286	0.00610886	0	0
Mir488	0	0	0	0	0	0	0	0	0	0
Sec16b	0.677577	0.459782	7.56146	4.66636	7.49457	9.62431	7.09791	0.458916	0.606854	0.0209968
Pappa2	0.0528598	0.0491732	0.243245	0.304573	0.466038	0.155773	0.257175	0.127192	0.00519671	0
Tnr	0.0322734	0	0	0.0238535	0.0132971	0.0107804	0	0	0	0
Tnn	0.00994693	0	0.658187	0.761193	0.571834	0.628107	0.226323	0.0536018	0	0
Rfwd2	0.847252	0.600802	1.11227	1.49472	2.31486	2.18855	6.18733	2.48446	0.489189	0.232187
Scarna3a	0	0	0	0	0	0	0	0	0	0
Mir1843b	0	0	0	0	0	0	0	0	0	0
Mrps14	27.2742	32.543	32.1594	49.3415	27.3641	45.6776	40.6334	32.6733	67.2182	89.2813
Cacybp	10.3279	8.38427	2.68885	1.1684	2.01704	3.90645	42.0884	56.5506	81.4614	316.699
Rc3h1	2.10219	1.96083	1.48834	4.32766	2.76461	3.48721	9.5215	3.96937	5.04629	2.59616
4930523C07Rik	0	0.0182431	0	0	0	0.016993	0	0	0	0
4930562F07Rik	0	0	0	0	0	0.0415207	0	0	0	0
Serpinc1	133.851	113.91	123.676	30.2495	50.2227	50.1622	24.8105	4.05347	2.85494	0.183584
Zbtb37	9.14506	8.85227	14.2247	5.38952	13.1245	17.2958	10.8625	8.55837	3.83798	0.996875
Dars2	2.77808	2.22334	2.64447	0.148034	0.795147	0.644646	4.53971	7.71376	11.2753	14.8541
Gas5	0.219749	0.530936	0.388042	0.161429	0.436037	1.36526	5.5035	18.7148	34.5671	50.8995
Snord47	0	0	0	0	0	0	0	0	0	0
Klhl20	2.62849	2.13272	1.38313	1.07259	1.12417	0.845242	1.21694	1.62733	1.53408	4.16942
Ralgps2	18.128	17.4861	22.5345	42.8713	38.2856	37.0094	35.1097	11.0814	8.68424	13.3429
Angptl1	0.0583202	0	0.431839	0.0961918	0.358689	0.305336	0.106674	0.112102	0	0.180742
Rabgap1l	3.92734	2.12172	3.69329	5.2192	5.46311	5.04991	3.15969	1.34385	0.297726	1.2792
Gpr52	0.14198	0.0886258	0	0	0.0863731	0.105034	0	0	0	0
Prdx6	8.28614	9.1882	10.7869	5.75199	7.89853	7.07222	23.416	20.2504	103.099	303.461
Tnfsf4	0	0	0	0.13862	0.103625	0	0	0	0	0
Ankrd45	0.0641513	0.0597339	0.0206896	0	0.0593877	0.208638	0.293985	0.357903	0.176329	4.10025
4930469G21Rik	0	0	0	0	0	0	0	0	0	1.59382
Tnfsf18	0	0	0	0	0	0	0	0	0	0
Suco	7.86472	6.50495	11.2858	16.8343	6.56252	4.70565	5.27457	3.48428	0.77423	3.68041
Fasl	0	0	0	0	0	0	0	0	0	0
Cenpl	8.75381	6.64689	14.7877	1.76716	5.27923	3.83841	24.5695	20.3813	9.24989	4.57599
Mettl13	1.54609	0.658516	0.241995	0.0243632	0.0272191	0.132403	4.1013	13.3201	8.35264	10.8747
Vamp4	9.1608	9.08511	5.14742	7.75674	9.45968	12.5809	9.58719	2.23789	0.657535	1.45197
Prrc2c	13.7077	14.2873	10.4268	19.6384	13.3828	5.63874	16.7698	19.8474	18.5616	17.8686
Myoc	0.929366	1.92594	3.44993	4.90122	2.55189	0.44774	0.294563	0	0	0
7420461P10Rik	215.962	350.85	470.481	79.8903	272.809	131.055	83.569	3.53862	0.992898	0.398939
Fmo4	0.297208	0.138666	3.22582	4.76259	5.56351	6.91352	2.79599	0	0	0
Fmo1	0	0	0	0	0.0334589	0.0678145	0.0596924	0	0	0.4634
Fmo6	0.210998	0.131232	0.950227	0.308521	0.647831	0.612742	0.642594	0.459477	0	0.0272472
Fmo2	0	0	0.0466695	0.0199935	0	0.0723844	0.0530481	0	0	0.0140176
Mroh9	0	0	0	0	0	0	0	0	0	0
Fmo3	0.806482	1.32383	3.39465	1.87741	4.12348	3.22244	0.353854	0	0	0
Dnm3	2.81141	2.04567	1.83108	1.06203	2.05314	3.06984	0.921735	0.137757	0.150673	0
2810442N19Rik	0	0.226825	0.810519	0	0.109748	0.044486	0	0	0	0
Dnm3os	0.0646002	0	0	0	0	0	0.0105414	0	0	0
Mir199a-2	0	0	0	0	0	0	0	0	0	0
Mir214	0	0	0	0	0	0	0	0	0	0
Gorab	4.88385	4.27295	2.34377	1.12548	3.77421	2.15183	1.18583	3.39199	1.89551	6.62174
4930558K02Rik	0.0823277	0.102898	0	0	0	0.0809676	0	0	0	0
Pigc	15.5299	17.3614	15.9678	2.29546	11.4219	16.7692	3.10886	0.901403	1.6454	1.21074
Kifap3	4.47349	2.68229	0.67729	0.757605	0.619923	0.548278	0.825716	0	1.57754	4.32038
Mettl11b	0.148341	0.185252	0	0	0.090168	0	0	0	0	0
Mettl18	16.8526	19.8666	29.8252	2.55946	20.1397	10.1007	2.72512	7.93318	7.07429	9.01909
Sele	0.0841954	0	0.0407035	0.139373	0.0778406	0.0946608	0.107946	0	0	0
Sell	0.0288059	0	0	0	0	0.0287294	0.0398937	0.178142	0.235029	0
Prrx1	0.0144474	0.0179339	0.304622	0.0799542	0.210876	0.132453	0.0862553	0	0	0
Ccdc181	25.8714	23.1455	29.3194	39.1542	34.1574	18.2633	7.10454	2.76475	0.216671	0.428778
Selp	0.300581	0.481299	8.63579	21.0703	19.1168	22.0129	11.3802	0.255873	0	0.0949164
F5	0.0770629	0.0860356	0.119433	0.265216	0.204039	0.0828642	0.0339496	0	0	0
Gm16548	0.226073	0.136558	0.981192	2.75884e-06	0.566357	0.727238	2.18655e-09	3.55023e-09	0	0
Scyl3	13.1511	13.1354	7.67264	4.6491	3.32231	2.7051	0.789074	2.61367	1.6153	2.02374
BC055324	32.8102	34.0855	55.4687	1.27022	10.8809	2.84234	14.7495	24.8657	56.8817	16.1824
Dpt	0	0	0	0	0	0	0	0	0	0
Gm20743	0	0	0	0	0	0	0	0	0	0
Xcl1	0	0	0.361672	0	1.34625	0.812504	0	0	0	0
4930568G15Rik	0	0	0	0	0	0	0	0	0	0.0621203
Slc19a2	0.541957	0.250113	0.179503	0.167046	0.0643941	1.1007	1.89054	0.896714	5.57648	5.62302
Tbx19	1.93326	1.21544	16.7855	22.5161	24.5202	29.2994	20.5949	1.86322	0.0365427	0.126322
Sft2d2	4.09528	3.3248	3.12984	2.04657	3.47427	1.68949	0.307866	0.00807309	0.0164862	0.389979
Tiprl	19.1822	17.7402	12.0144	12.2895	10.6307	9.0512	45.5723	96.0378	33.1721	24.3668
Gpr161	0	0	0	0	0	0.200738	12.0082	19.6472	34.5784	6.06362
Dcaf6	8.73829	8.72865	5.68187	5.76687	5.77314	5.06437	2.81383	2.27863	0.975902	0.368237
Mpc2	31.4022	42.316	43.6743	10.0136	10.0589	9.9198	153.969	216.396	481.579	50.937
Adcy10	0.134001	0.235569	0.360381	0.0866451	0.082807	0.0615394	0.0655552	0	0.0263288	0
Nme7	4.41575	3.11102	7.12577	18.8551	14.0959	16.4733	15.4946	1.95618	7.21504	15.2092
Atp1b1	8.63283	8.43276	4.05367	3.23342	5.77168	5.8056	7.45515	2.43963	1.58321	23.782
Creg1	15.4967	12.4691	10.949	1.72644	2.63749	3.61397	4.30906	15.1889	45.9489	74.6554
Blzf1	14.2837	12.5942	14.3811	16.6869	21.3179	18.756	4.77551	5.21936	10.533	11.4965
Rcsd1	0.371411	0.809726	6.72385	1.17725	2.45947	2.3765	1.44924	0.51978	1.09798	0.0560988
Mpzl1	79.7595	95.7942	113.528	12.9137	49.6631	34.3712	22.8926	3.75698	4.34135	6.28858
Gpa33	0.718655	0.687129	1.38847	2.98054	2.7891	2.41284	1.21369	0.0637627	0	32.6048
Ildr2	0	0	0	0	0	0.051745	0.00505066	0	0	0
Mael	46.0987	49.5962	48.0119	14.8737	38.6772	46.7362	38.4316	17.2866	5.24569	7.3677
Gm4846	0.07654	0.0952391	0.393775	0.0419112	0.375698	0.456877	0.0279581	0.0294077	0	0
Gm4847	0	0	0	0	0	0.141817	1.52963	0	0	0
Fmo9	0	0.0246875	0	0	0	0	0	0	0	0
Gm16701	0	0	0	0	0	0.0865867	0	0	0	0
Dusp27	0	0	0.0190185	0	0.0363999	0.0664262	0.0648249	0.249682	0.0115779	0.890223
Uck2	60.5556	81.438	113.506	10.91	43.0695	58.4029	285.98	274.336	93.5713	238.979
Tada1	47.2475	46.5317	53.4276	108.242	91.9667	92.0031	26.1883	31.051	43.6657	11.3955
Pogk	1.27023	1.48908	0.320068	0.514281	0.344894	0.25631	0.380169	0.525689	0.505462	0.100765
Tmco1	12.0633	12.632	15.4102	9.89618	13.2376	8.03866	18.6291	21.6678	29.4836	20.7224
Fam78b	0	0.0155854	0	0	0.0155147	0.035165	0.0184263	0	0	0
Mgst3	293.897	348.54	313.966	810.049	514.874	813.326	219.627	9.12977	3.41276	23.6843
Lrrc52	0	0	0	0.0720093	0	0	0.193652	0.0510675	0	0
Lmx1a	0.0361626	0.291888	0.443068	0.239764	0.446124	0.99463	6.38145	0.779081	0.0425856	0.0420249
Aldh9a1	173.188	174.813	150.702	204.972	237.105	186.131	68.4555	18.3867	6.71141	40.8773
Mir6348	0	0	0	0	0	0	0	0	0	0
Rxrg	0	0	0.0516702	0	0.0492862	0.0799143	0.0586942	0	0	2.52997
Pbx1	0.0249333	0	0.0206535	0	0.020559	0	0.0178707	0	0	0.0128771
Rgs5	0	0	0	0	0	0	0	0.16878	1.11748	0
Rgs4	0	0	0	0	0.0513235	0.176839	0.122009	0.160137	0	0
1700084C01Rik	0	0	0	0	0	0.0482427	0.0354619	0	0	0.226064
Hsd17b7	23.2199	22.4163	12.9014	16.0895	21.5753	16.0919	6.20851	1.4025	1.60313	7.21742
Nuf2	101.669	111.989	106.254	127.496	158.826	157.47	38.2515	4.64689	6.56333	14.5313
Uhmk1	0.895854	0.71615	0.49423	2.45956	3.53939	3.44333	15.1813	19.0656	6.29101	0.371842
Cd247	0.159563	0.0496443	0.384713	0.790119	0.418619	0.218177	0.0874027	0	0	0.123634
Pou2f1	6.13104	5.65626	6.37848	10.7261	6.55004	3.25527	0.955589	0.785655	1.10709	3.47437
Uap1	2.61143	2.58987	4.12389	8.80312	4.71754	4.39968	23.7156	99.4513	131.959	43.6512
3110045C21Rik	7.00778	5.49682	2.73635	1.0827	2.76396	5.70072	6.45448	1.8941	0.312004	1.60333
Ddr2	2.41188	2.35421	3.22523	4.94763	4.23055	3.65838	9.18029	5.02963	1.25019	13.4482
Sh2d1b1	0	0	0	0	0	0.0728119	0.0356824	0	0	0
Sh2d1b2	0	0	0	0	0	0	0	0	0	0
Gm7694	2.4081	2.73882	7.14563	11.2234	8.82245	6.67057	3.71396	0.131514	0.0610097	0.0120363
1700015E13Rik	0	0	0.0874043	0.144486	0	0	0	0	0	0
Olfml2b	0	0	0.0126766	0.0217124	0	0.00982875	0.0576343	0	0	0
Atf6	12.9554	12.6569	14.356	20.7262	13.9966	5.53571	2.19588	1.49506	7.95736	8.3664
Fcrlb	0.112927	0.070387	0.0362218	0.122682	0	0.0559057	0.452388	0	0.0440635	0.0875071
Dusp12	158.32	148.138	170.74	86.497	149.492	121.109	39.087	56.6501	107.496	56.0675
Fcgr4	0.11704	0.145931	0.71308	0.0635176	1.14291	0.897613	0.298266	0	0	0.0906949
Fcgr3	0.948692	0.788123	0.778043	0.229411	0.837619	2.82073	172.343	197.413	107.249	6.30983
Fcrla	0.0406896	0.101341	0	0	0	0	0	0	0	0
Mir6546	0	0	0	0	0	0	0	0	0	0
Cfap126	0	0	0.0487115	0	0.0925082	0.187491	3.31651	0.817063	0.118466	3.18614
Nos1ap	1.05321	1.60602	2.65934	5.27174	3.62179	2.89878	1.26941	0.0316421	0	0.0340677
Sdhc	80.6907	112.312	113.553	49.804	101.074	50.5481	14.6996	15.0633	29.9702	132.47
Mpz	0	0	0	0	0	0	0	0	0	0
Pcp4l1	0.130226	0.0540417	0.0836886	0	0.212786	0.560652	4.27752	1.66727	0	0
