Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
CCR3 Signaling in Eosinophils	8.33E-01	5.6E-02	NaN	CAMK4,PIK3R1,PLA2G4B,PLCB1,Ppp1r12b,PRKCH,RASD1
Gαi Signaling	8.33E-01	5.6E-02	NaN	ADCY2,CXCR2,DRD3,GRB2,NPY1R,RASD1,SOS2
Actin Cytoskeleton Signaling	8.3E-01	5E-02	NaN	ACTN2,ARHGEF12,FGF1,GRB2,MYH4,PIK3R1,Ppp1r12b,RAC2,RASD1,SOS2,VAV3
Nur77 Signaling in T Lymphocytes	8.24E-01	6.78E-02	NaN	CAMK4,HLA-A,MEF2D,RXRA
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	8.21E-01	4.98E-02	NaN	CALCR,CAMK4,DKK1,FOS,FZD4,IL11,IL1RAP,IL36G,JUN,PIK3R1,WNT4
IL-17 Signaling	8.15E-01	6.17E-02	NaN	ATF2,JUN,PIK3R1,PTGS2,RASD1
Cyclins and Cell Cycle Regulation	8.15E-01	6.17E-02	NaN	CCNB3,CCNE2,CDKN2B,PPP2R2B,PPP2R5A
Fatty Acid α-oxidation	8.15E-01	1E-01	NaN	ALDH1A2,PTGS2
Docosahexaenoic Acid (DHA) Signaling	8.12E-01	7.69E-02	NaN	ALOX15,APP,PIK3R1
April Mediated Signaling	8.12E-01	7.69E-02	NaN	FOS,JUN,TRAF1
Antigen Presentation Pathway	8.12E-01	7.69E-02	NaN	HLA-A,HLA-E,HLA-F
Mouse Embryonic Stem Cell Pluripotency	8.07E-01	5.77E-02	NaN	FZD4,GRB2,ID2,PIK3R1,RASD1,SOS2
Endometrial Cancer Signaling	7.88E-01	6.56E-02	NaN	GRB2,PIK3R1,RASD1,SOS2
Glutamate Degradation III (via 4-aminobutyrate)	7.88E-01	2E-01	NaN	GAD2
Synaptic Long Term Potentiation	7.83E-01	5.43E-02	NaN	ATF2,CAMK4,PLCB1,PLCL1,PPP1R10,PRKCH,RASD1
FLT3 Signaling in Hematopoietic Progenitor Cells	7.7E-01	5.95E-02	NaN	ATF2,GRB2,PIK3R1,RASD1,SOS2
B Cell Activating Factor Signaling	7.67E-01	7.32E-02	NaN	FOS,JUN,TRAF1
nNOS Signaling in Skeletal Muscle Cells	7.67E-01	7.32E-02	NaN	CACNA1S,CAMK4,RYR3
Triacylglycerol Biosynthesis	7.67E-01	7.32E-02	NaN	ABHD5,LCLAT1,LPCAT4
3-phosphoinositide Degradation	7.57E-01	5.16E-02	NaN	DUSP1,DUSP10,DUSP5,INPP4B,NUDT12,NUDT16,PPP1R16B,PPP2R5A
FGF Signaling	7.57E-01	5.88E-02	NaN	ATF2,FGF1,GRB2,PIK3R1,SOS2
Telomerase Signaling	7.54E-01	5.56E-02	NaN	GRB2,PIK3R1,PPP2R2B,PPP2R5A,RASD1,SOS2
D-myo-inositol-5-phosphate Metabolism	7.47E-01	5.13E-02	NaN	DUSP1,DUSP10,DUSP5,NUDT12,NUDT16,PLCB1,PPP1R16B,PPP2R5A
Ephrin Receptor Signaling	7.47E-01	5E-02	NaN	ATF2,EFNA5,EFNB2,EPHB1,FGF1,GRB2,RAC2,RASD1,SOS2
IL-12 Signaling and Production in Macrophages	7.38E-01	5.26E-02	NaN	ALOX15,FOS,JUN,PIK3R1,PRKCH,REL,RXRA
Paxillin Signaling	7.3E-01	5.45E-02	NaN	ACTN2,GRB2,ITGA2B,PIK3R1,RASD1,SOS2
Netrin Signaling	7.19E-01	6.15E-02	NaN	CACNA1S,DCC,RAC2,RYR3
Urea Cycle	7.17E-01	1.67E-01	NaN	ARG2
Arginine Degradation VI (Arginase 2 Pathway)	7.17E-01	1.67E-01	NaN	ARG2
Pentose Phosphate Pathway (Non-oxidative Branch)	7.17E-01	1.67E-01	NaN	TKTL1
UDP-N-acetyl-D-glucosamine Biosynthesis II	7.17E-01	1.67E-01	NaN	UAP1
Glycogen Biosynthesis II (from UDP-D-Glucose)	7.17E-01	1.67E-01	NaN	GYG1
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	7.06E-01	5.36E-02	NaN	ADCY2,CACNA1S,PLCB1,PLCL1,PRKCH,RAPGEF4
Calcium-induced T Lymphocyte Apoptosis	7.03E-01	6.06E-02	NaN	CAMK4,HLA-A,MEF2D,PRKCH
Mitotic Roles of Polo-Like Kinase	7.03E-01	6.06E-02	NaN	CCNB3,PLK2,PPP2R2B,PPP2R5A
Androgen Signaling	7.03E-01	5.15E-02	NaN	CACNA1S,CAMK4,GTF2B,JUN,POLR2A,PRKCH,TGFB1I1
Regulation of Cellular Mechanics by Calpain Protease	7.03E-01	6.06E-02	NaN	ACTN2,CAPN6,GRB2,RASD1
Estrogen Receptor Signaling	6.93E-01	5.11E-02	NaN	GRB2,GTF2B,NRIP1,POLR2A,RASD1,SOS2,TAF7L
iNOS Signaling	6.84E-01	6.67E-02	NaN	CAMK4,FOS,JUN
Stearate Biosynthesis I (Animals)	6.84E-01	6.67E-02	NaN	LPCAT4,SLC27A2,THEM4
Apelin Pancreas Signaling Pathway	6.84E-01	6.67E-02	NaN	DDIT3,PDE3B,PIK3R1
HIF1α Signaling	6.82E-01	5.26E-02	NaN	ARNT,EGLN3,JUN,MMP25,PIK3R1,RASD1
Molecular Mechanisms of Cancer	6.76E-01	4.34E-02	NaN	ADCY2,ARHGEF12,CASP8,CCNE2,CDKN2B,FOS,FZD4,GRB2,JUN,PIK3R1,PLCB1,PRKCH,RAC2,RASD1,RND3,SOS2,WNT4
Osteoarthritis Pathway	6.74E-01	4.69E-02	NaN	ALPG,ATF2,CASP8,CXCR2,DDIT4,DDR2,DKK1,FZD4,IL1RAP,PTGS2
IL-17A Signaling in Gastric Cells	6.66E-01	8E-02	NaN	FOS,JUN
Role of JAK family kinases in IL-6-type Cytokine Signaling	6.66E-01	8E-02	NaN	IL6R,SOCS1
Endocannabinoid Developing Neuron Pathway	6.6E-01	5.17E-02	NaN	ADCY2,ATF2,MGLL,PIK3R1,RAC2,RASD1
Acetyl-CoA Biosynthesis I (Pyruvate Dehydrogenase Complex)	6.58E-01	1.43E-01	NaN	Pdha2
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	6.52E-01	4.96E-02	NaN	DUSP1,DUSP10,DUSP5,NUDT12,NUDT16,PPP1R16B,PPP2R5A
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	6.52E-01	4.96E-02	NaN	DUSP1,DUSP10,DUSP5,NUDT12,NUDT16,PPP1R16B,PPP2R5A
NRF2-mediated Oxidative Stress Response	6.5E-01	4.71E-02	NaN	DNAJB13,DNAJB14,DNAJB9,DNAJC1,FOS,JUN,PIK3R1,PRKCH,RASD1
HMGB1 Signaling	6.5E-01	4.82E-02	NaN	FOS,IL11,IL36G,JUN,PIK3R1,RAC2,RASD1,RND3
3-phosphoinositide Biosynthesis	6.5E-01	4.82E-02	NaN	DUSP1,DUSP10,DUSP5,NUDT12,NUDT16,PIK3R1,PPP1R16B,PPP2R5A
Factors Promoting Cardiogenesis in Vertebrates	6.48E-01	5.38E-02	NaN	ATF2,CCNE2,DKK1,FZD4,PRKCH
Role of JAK1 and JAK3 in γc Cytokine Signaling	6.42E-01	5.71E-02	NaN	GRB2,PIK3R1,RASD1,SOCS1
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	6.36E-01	5.32E-02	NaN	PIK3R1,PLD1,PRKCH,RAC2,VAV3
CCR5 Signaling in Macrophages	6.36E-01	5.32E-02	NaN	CACNA1S,CAMK4,FOS,JUN,PRKCH
Ephrin A Signaling	6.31E-01	6.25E-02	NaN	EFNA5,PIK3R1,VAV3
GM-CSF Signaling	6.29E-01	5.63E-02	NaN	GRB2,PIK3R1,RASD1,SOS2
α-Adrenergic Signaling	6.25E-01	5.26E-02	NaN	ADCY2,CAMK4,PHKG2,PRKCH,RASD1
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	6.16E-01	5E-02	NaN	FZD4,GRB2,PIK3R1,RASD1,SOS2,WNT4
ERK5 Signaling	6.14E-01	5.56E-02	NaN	ATF2,FOS,MEF2D,RASD1
Ephrin B Signaling	6.14E-01	5.56E-02	NaN	EFNB2,EPHB1,RAC2,VAV3
Neuregulin Signaling	6.13E-01	5.21E-02	NaN	GRB2,PIK3R1,PRKCH,RASD1,SOS2
Communication between Innate and Adaptive Immune Cells	6.13E-01	5.21E-02	NaN	CCL3L3,HLA-A,HLA-E,HLA-F,IL36G
FAK Signaling	6.13E-01	5.21E-02	NaN	CAPN6,GRB2,PIK3R1,RASD1,SOS2
TGF-β Signaling	6.13E-01	5.21E-02	NaN	FOS,GRB2,JUN,RASD1,SOS2
CD28 Signaling in T Helper Cells	6.06E-01	4.96E-02	NaN	CAMK4,FOS,GRB2,HLA-A,JUN,PIK3R1
Caveolar-mediated Endocytosis Signaling	6.02E-01	5.48E-02	NaN	HLA-A,HLA-E,HLA-F,ITGA2B
T Helper Cell Differentiation	6.02E-01	5.48E-02	NaN	BCL6,GATA3,HLA-A,IL6R
G Beta Gamma Signaling	5.97E-01	4.92E-02	NaN	ADCY2,CACNA1S,GRB2,PRKCH,RASD1,SOS2
Assembly of RNA Polymerase II Complex	5.97E-01	6E-02	NaN	GTF2B,POLR2A,TAF7L
p53 Signaling	5.9E-01	5.1E-02	NaN	GADD45B,JUN,PIK3R1,SNAI2,THBS1
Th1 and Th2 Activation Pathway	5.88E-01	4.62E-02	NaN	DLL1,GATA3,GRB2,HLA-A,IL6R,JUN,PIK3R1,SOCS1
Gap Junction Signaling	5.85E-01	4.52E-02	NaN	ADCY2,GJC3,GRB2,PIK3R1,PLCB1,PLCL1,PRKCH,RASD1,SOS2
Superpathway of Inositol Phosphate Compounds	5.85E-01	4.52E-02	NaN	DUSP1,DUSP10,DUSP5,NUDT12,NUDT16,PIK3R1,PLCB1,PPP1R16B,PPP2R5A
Amyloid Processing	5.8E-01	5.88E-02	NaN	APP,CAPN6,CSNK2A1
Atherosclerosis Signaling	5.77E-01	4.84E-02	NaN	ABHD3,ALOX15,IL36G,LPL,PLA2G16,PLA2G4B
Glioma Invasiveness Signaling	5.75E-01	5.33E-02	NaN	PIK3R1,RAC2,RASD1,RND3
Relaxin Signaling	5.69E-01	4.67E-02	NaN	ADCY2,FICD,FOS,JUN,PDE3B,PDE6A,PIK3R1
Phagosome Maturation	5.69E-01	4.67E-02	NaN	ATP6V1E1,CTSC,HLA-A,HLA-E,HLA-F,TPO,VPS39
Apelin Cardiomyocyte Signaling Pathway	5.69E-01	5E-02	NaN	ARNT,PIK3R1,PLCB1,PLCL1,PRKCH
FcγRIIB Signaling in B Lymphocytes	5.62E-01	5.26E-02	NaN	CACNA1S,GRB2,PIK3R1,RASD1
Angiopoietin Signaling	5.62E-01	5.26E-02	NaN	GRB14,GRB2,PIK3R1,RASD1
Prostanoid Biosynthesis	5.62E-01	1.11E-01	NaN	PTGS2
Citrulline Biosynthesis	5.62E-01	1.11E-01	NaN	ARG2
UDP-N-acetyl-D-galactosamine Biosynthesis II	5.62E-01	1.11E-01	NaN	UAP1
Phagosome Formation	5.58E-01	4.76E-02	NaN	PIK3R1,PLCB1,PLCL1,PRKCH,RAC2,RND3
Macropinocytosis Signaling	5.51E-01	5.19E-02	NaN	ANKFY1,PIK3R1,PRKCH,RASD1
CD27 Signaling in Lymphocytes	5.5E-01	5.66E-02	NaN	CASP8,FOS,JUN
Dopamine Degradation	5.5E-01	6.67E-02	NaN	ALDH1A2,COMT
Epithelial Adherens Junction Signaling	5.44E-01	4.58E-02	NaN	ACTN2,DLL1,FGF1,MYH4,RASD1,SNAI1,SNAI2
Granulocyte Adhesion and Diapedesis	5.41E-01	4.47E-02	NaN	2610528A11Rik,CCL3L3,CSF3R,CX3CL1,CXCR2,IL1RAP,IL36G,MMP25
Agrin Interactions at Neuromuscular Junction	5.39E-01	5.13E-02	NaN	JUN,Nrg1,RAC2,RASD1
Endocannabinoid Neuronal Synapse Pathway	5.39E-01	4.69E-02	NaN	ADCY2,CACNA1S,MGLL,PLCB1,PLCL1,PTGS2
Sumoylation Pathway	5.36E-01	4.85E-02	NaN	FOS,JUN,RAC2,RND3,ZNF217
NF-κB Signaling	5.33E-01	4.44E-02	NaN	CASP8,CSNK2A1,FLT4,IL36G,NTRK2,PIK3R1,RASD1,TNFAIP3
Pentose Phosphate Pathway	5.24E-01	1E-01	NaN	TKTL1
Role of IL-17A in Arthritis	5.21E-01	5.45E-02	NaN	ATF2,PIK3R1,PTGS2
Xenobiotic Metabolism Signaling	5.14E-01	4.17E-02	NaN	ALDH1A2,ARNT,CAMK4,CYP1A1,NRIP1,PIK3R1,PPP2R2B,PPP2R5A,PRKCH,RASD1,RXRA,SNW1
Ethanol Degradation II	5.11E-01	6.25E-02	NaN	ADH7,ALDH1A2
Fatty Acid β-oxidation I	5.11E-01	6.25E-02	NaN	EHHADH,SLC27A2
Hepatic Cholestasis	5.04E-01	4.35E-02	NaN	ADCY2,CYP7B1,IL11,IL1RAP,IL36G,JUN,PRKCH,RXRA
Regulation of eIF4 and p70S6K Signaling	5.03E-01	4.43E-02	NaN	EIF4A3,GRB2,PIK3R1,PPP2R2B,PPP2R5A,RASD1,SOS2
PD-1, PD-L1 cancer immunotherapy pathway	4.98E-01	4.67E-02	NaN	CSNK2A1,HLA-A,HLA-E,HLA-F,PIK3R1
Role of CHK Proteins in Cell Cycle Checkpoint Control	4.95E-01	5.26E-02	NaN	PPP2R2B,PPP2R5A,TLK2
AMPK Signaling	4.85E-01	4.23E-02	NaN	ATF2,CAB39,CHRM3,PFKFB3,PIK3R1,PPM1A,PPP2R2B,PPP2R5A,RAB39A
PEDF Signaling	4.83E-01	4.82E-02	NaN	BDNF,CASP8,PIK3R1,RASD1
Cancer Drug Resistance By Drug Efflux	4.81E-01	5.17E-02	NaN	PIK3R1,PTGS2,RASD1
Inhibition of Angiogenesis by TSP1	4.76E-01	5.88E-02	NaN	JUN,THBS1
MIF-mediated Glucocorticoid Regulation	4.76E-01	5.88E-02	NaN	PLA2G4B,PTGS2
Human Embryonic Stem Cell Pluripotency	4.71E-01	4.41E-02	NaN	BDNF,FZD4,NTRK2,PIK3R1,S1PR4,WNT4
Pancreatic Adenocarcinoma Signaling	4.7E-01	4.55E-02	NaN	CDKN2B,GRB2,PIK3R1,PLD1,PTGS2
Iron homeostasis signaling pathway	4.63E-01	4.38E-02	NaN	ARNT,ATP6V1E1,CD163,CYBRD1,IL6R,SLC40A1
HIPPO signaling	4.62E-01	4.71E-02	NaN	AMOT,PPP1R10,PPP2R2B,PPP2R5A
TWEAK Signaling	4.61E-01	5.71E-02	NaN	CASP8,TRAF1
IL-17A Signaling in Fibroblasts	4.61E-01	5.71E-02	NaN	FOS,JUN
Nucleotide Excision Repair Pathway	4.61E-01	5.71E-02	NaN	ERCC4,POLR2A
Hematopoiesis from Multipotent Stem Cells	4.6E-01	8.33E-02	NaN	KITLG
Retinoic acid Mediated Apoptosis Signaling	4.57E-01	5E-02	NaN	CASP8,RXRA,RXRG
SPINK1 Pancreatic Cancer Pathway	4.57E-01	5E-02	NaN	CPB2,CPD,CPM
Th2 Pathway	4.55E-01	4.35E-02	NaN	DLL1,GATA3,GRB2,HLA-A,JUN,PIK3R1
CNTF Signaling	4.45E-01	4.92E-02	NaN	GRB2,PIK3R1,RASD1
Autophagy	4.45E-01	4.92E-02	NaN	CTSC,RB1CC1,VPS39
Insulin Receptor Signaling	4.4E-01	4.29E-02	NaN	GRB2,PDE3B,PIK3R1,PPP1R10,RASD1,SOS2
Cdc42 Signaling	4.38E-01	4.19E-02	NaN	ATF2,FOS,HLA-A,HLA-E,HLA-F,JUN,Ppp1r12b
Clathrin-mediated Endocytosis Signaling	4.37E-01	4.12E-02	NaN	CSNK2A1,DAB2,FGF1,GRB2,MYO1E,PIK3R1,SH3BP4,SH3KBP1
Fatty Acid Activation	4.32E-01	7.69E-02	NaN	SLC27A2
Acyl-CoA Hydrolysis	4.32E-01	7.69E-02	NaN	THEM4
Pregnenolone Biosynthesis	4.32E-01	7.69E-02	NaN	CYP7B1
Complement System	4.29E-01	5.41E-02	NaN	CFD,CFH
NGF Signaling	4.28E-01	4.35E-02	NaN	ATF2,GRB2,PIK3R1,RASD1,SOS2
RANK Signaling in Osteoclasts	4.24E-01	4.49E-02	NaN	CAMK4,FOS,JUN,PIK3R1
Type II Diabetes Mellitus Signaling	4.18E-01	4.2E-02	NaN	CACNA1S,PIK3R1,PRKCH,SLC27A2,SOCS1,SOCS4
Notch Signaling	4.16E-01	5.26E-02	NaN	DLL1,HEY1
OX40 Signaling Pathway	4.15E-01	4.44E-02	NaN	HLA-A,HLA-E,HLA-F,JUN
fMLP Signaling in Neutrophils	4.12E-01	4.27E-02	NaN	CAMK4,PIK3R1,PLCB1,PRKCH,RASD1
IL-1 Signaling	4.07E-01	4.4E-02	NaN	ADCY2,FOS,IL1RAP,JUN
Glutaryl-CoA Degradation	4.07E-01	7.14E-02	NaN	EHHADH
Isoleucine Degradation I	4.07E-01	7.14E-02	NaN	EHHADH
Phenylalanine Degradation IV (Mammalian, via Side Chain)	4.07E-01	7.14E-02	NaN	SLC27A2
Pyridoxal 5'-phosphate Salvage Pathway	4.01E-01	4.62E-02	NaN	GRK4,PRKCH,PRKX
Inhibition of Matrix Metalloproteases	4.01E-01	5.13E-02	NaN	A2M,MMP25
Superpathway of Citrulline Metabolism	3.84E-01	6.67E-02	NaN	ARG2
Choline Biosynthesis III	3.84E-01	6.67E-02	NaN	PLD1
Histidine Degradation VI	3.84E-01	6.67E-02	NaN	CYP7B1
IL-15 Production	3.82E-01	4.13E-02	NaN	CLK3,DDR2,EPHB1,FLT4,NTRK2
Role of PKR in Interferon Induction and Antiviral Response	3.76E-01	4.88E-02	NaN	ATF2,CASP8
GABA Receptor Signaling	3.73E-01	4.21E-02	NaN	ADCY2,CACNA1S,GABRA1,GAD2
Granzyme B Signaling	3.63E-01	6.25E-02	NaN	CASP8
Chondroitin Sulfate Degradation (Metazoa)	3.63E-01	6.25E-02	NaN	HYAL3
Vitamin-C Transport	3.63E-01	6.25E-02	NaN	GLRX
Bladder Cancer Signaling	3.57E-01	4.12E-02	NaN	FGF1,MMP25,RASD1,THBS1
SPINK1 General Cancer Pathway	3.54E-01	4.29E-02	NaN	IL6R,PIK3R1,RASD1
Gustation Pathway	3.53E-01	3.92E-02	NaN	ADCY2,CACNA1S,FICD,P2RY1,PDE3B,PDE6A
Oncostatin M Signaling	3.52E-01	4.65E-02	NaN	GRB2,RASD1
Serotonin Receptor Signaling	3.52E-01	4.65E-02	NaN	ADCY2,GCH1
Amyotrophic Lateral Sclerosis Signaling	3.5E-01	4.08E-02	NaN	CACNA1S,CAPN6,HECW1,PIK3R1
PAK Signaling	3.5E-01	4.08E-02	NaN	GRB2,PIK3R1,RASD1,SOS2
Ubiquinol-10 Biosynthesis (Eukaryotic)	3.44E-01	5.88E-02	NaN	CYP7B1
γ-linolenate Biosynthesis II (Animals)	3.44E-01	5.88E-02	NaN	SLC27A2
Dermatan Sulfate Degradation (Metazoa)	3.44E-01	5.88E-02	NaN	HYAL3
Mitochondrial L-carnitine Shuttle Pathway	3.44E-01	5.88E-02	NaN	SLC27A2
Histamine Degradation	3.44E-01	5.88E-02	NaN	ALDH1A2
Role of IL-17F in Allergic Inflammatory Airway Diseases	3.29E-01	4.44E-02	NaN	ATF2,IL11
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	3.27E-01	4.11E-02	NaN	ADCY2,PLCB1,PLCL1
Valine Degradation I	3.26E-01	5.56E-02	NaN	EHHADH
FAT10 Signaling Pathway	3.26E-01	5.56E-02	NaN	PSMB11
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	3.19E-01	4.35E-02	NaN	AQR,FBXO15
Gα12/13 Signaling	3.16E-01	3.82E-02	NaN	JUN,MEF2D,PIK3R1,RASD1,VAV3
Oxidative Ethanol Degradation III	3.09E-01	5.26E-02	NaN	ALDH1A2
Chronic Myeloid Leukemia Signaling	3.07E-01	3.85E-02	NaN	GRB2,PIK3R1,RASD1,SOS2
Agranulocyte Adhesion and Diapedesis	2.95E-01	3.65E-02	NaN	2610528A11Rik,CCL3L3,CX3CL1,CXCR2,IL36G,MMP25,MYH4
Cardiomyocyte Differentiation via BMP Receptors	2.93E-01	5E-02	NaN	ATF2
Inflammasome pathway	2.93E-01	5E-02	NaN	CASP8
Hematopoiesis from Pluripotent Stem Cells	2.89E-01	4.08E-02	NaN	IL11,KITLG
Tec Kinase Signaling	2.87E-01	3.64E-02	NaN	FOS,PIK3R1,PRKCH,RAC2,RND3,VAV3
Reelin Signaling in Neurons	2.81E-01	3.8E-02	NaN	APP,ARHGEF12,PIK3R1
Maturity Onset Diabetes of Young (MODY) Signaling	2.79E-01	4.76E-02	NaN	CACNA1S
Putrescine Degradation III	2.79E-01	4.76E-02	NaN	ALDH1A2
Endoplasmic Reticulum Stress Pathway	2.79E-01	4.76E-02	NaN	DDIT3
EIF2 Signaling	2.77E-01	3.56E-02	NaN	ATF3,DDIT3,EIF4A3,GRB2,PIK3R1,PPP1R15A,RASD1,SOS2
Melanoma Signaling	2.72E-01	3.92E-02	NaN	PIK3R1,RASD1
Polyamine Regulation in Colon Cancer	2.66E-01	4.55E-02	NaN	PSMB11
Ovarian Cancer Signaling	2.66E-01	3.57E-02	NaN	FZD4,PIK3R1,PTGS2,RASD1,WNT4
Tryptophan Degradation III (Eukaryotic)	2.66E-01	4.55E-02	NaN	EHHADH
Leukocyte Extravasation Signaling	2.64E-01	3.52E-02	NaN	ACTN2,MMP25,PIK3R1,PRKCH,RAC2,RAPGEF4,VAV3
Triacylglycerol Degradation	2.63E-01	3.85E-02	NaN	LPL,MGLL
iCOS-iCOSL Signaling in T Helper Cells	2.58E-01	3.57E-02	NaN	CAMK4,GRB2,HLA-A,PIK3R1
Rac Signaling	2.58E-01	3.57E-02	NaN	JUN,PIK3R1,PLD1,RASD1
Phototransduction Pathway	2.55E-01	3.77E-02	NaN	GUCA1A,PDE6A
NF-κB Activation by Viruses	2.54E-01	3.61E-02	NaN	PIK3R1,PRKCH,RASD1
Ethanol Degradation IV	2.53E-01	4.35E-02	NaN	ALDH1A2
Lymphotoxin β Receptor Signaling	2.47E-01	3.7E-02	NaN	PIK3R1,TRAF1
Tumoricidal Function of Hepatic Natural Killer Cells	2.41E-01	4.17E-02	NaN	CASP8
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	2.41E-01	4.17E-02	NaN	SOCS1
Allograft Rejection Signaling	2.36E-01	3.49E-02	NaN	HLA-A,HLA-E,HLA-F
Nicotine Degradation III	2.32E-01	3.57E-02	NaN	ADH7,CYP1A1
Bupropion Degradation	2.3E-01	4E-02	NaN	CYP1A1
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	2.3E-01	4E-02	NaN	PLCB1
Tryptophan Degradation X (Mammalian, via Tryptamine)	2.3E-01	4E-02	NaN	ALDH1A2
Antiproliferative Role of TOB in T Cell Signaling	2.2E-01	3.85E-02	NaN	CCNE2
Estrogen-mediated S-phase Entry	2.2E-01	3.85E-02	NaN	CCNE2
NAD Salvage Pathway II	2.2E-01	3.85E-02	NaN	NUDT12
Gluconeogenesis I	2.2E-01	3.85E-02	NaN	ME3
Circadian Rhythm Signaling	-0E00	3.03E-02	NaN	ATF2
LPS/IL-1 Mediated Inhibition of RXR Function	-0E00	3.12E-02	NaN	ACOX1,ALDH1A2,IL1RAP,IL36G,JUN,RXRA,SLC27A2
Coagulation System	-0E00	2.86E-02	NaN	A2M
Mitochondrial Dysfunction	-0E00	2.34E-02	NaN	APP,CASP8,COX6B2,GLRX2
FXR/RXR Activation	-0E00	2.38E-02	NaN	IL36G,LPL,RXRA
PXR/RXR Activation	-0E00	1.54E-02	NaN	RXRA
Tight Junction Signaling	-0E00	2.98E-02	NaN	FOS,JUN,MYH4,PPP2R2B,PPP2R5A
Regulation of Actin-based Motility by Rho	-0E00	3.19E-02	NaN	Ppp1r12b,RAC2,RND3
Role of BRCA1 in DNA Damage Response	-0E00	1.25E-02	NaN	UIMC1
Activation of IRF by Cytosolic Pattern Recognition Receptors	-0E00	3.17E-02	NaN	ATF2,JUN
Role of RIG1-like Receptors in Antiviral Innate Immunity	-0E00	2.27E-02	NaN	CASP8
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	-0E00	2.58E-02	NaN	IL11,IL36G,PIK3R1,PRKCH
TREM1 Signaling	-0E00	2.67E-02	NaN	GRB2,NLRP4
Induction of Apoptosis by HIV1	-0E00	3.28E-02	NaN	CASP8,TRAF1
IL-9 Signaling	-0E00	2.94E-02	NaN	PIK3R1
IL-15 Signaling	-0E00	2.78E-02	NaN	PIK3R1,RASD1
Role of Cytokines in Mediating Communication between Immune Cells	-0E00	1.85E-02	NaN	IL36G
Mechanisms of Viral Exit from Host Cells	-0E00	2.44E-02	NaN	PRKCH
Antiproliferative Role of Somatostatin Receptor 2	-0E00	2.56E-02	NaN	PIK3R1,RASD1
Germ Cell-Sertoli Cell Junction Signaling	-0E00	3.47E-02	NaN	A2M,ACTN2,PIK3R1,RAC2,RASD1,RND3
Basal Cell Carcinoma Signaling	-0E00	2.74E-02	NaN	FZD4,WNT4
Primary Immunodeficiency Signaling	-0E00	2E-02	NaN	RFXANK
G Protein Signaling Mediated by Tubby	-0E00	3.23E-02	NaN	PLCB1
Crosstalk between Dendritic Cells and Natural Killer Cells	-0E00	3.37E-02	NaN	HLA-A,HLA-E,HLA-F
Hereditary Breast Cancer Signaling	-0E00	2.86E-02	NaN	GADD45B,PIK3R1,POLR2A,RASD1
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00	2.22E-02	NaN	HLA-A,IL36G
B Cell Development	-0E00	2.78E-02	NaN	HLA-A
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	-0E00	2.56E-02	NaN	FZD4,WNT4
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	-0E00	1.54E-02	NaN	PIK3R1
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	-0E00	2.33E-02	NaN	IL36G
MSP-RON Signaling Pathway	-0E00	1.69E-02	NaN	PIK3R1
Cell Cycle Control of Chromosomal Replication	-0E00	1.79E-02	NaN	MCM9
Role of Tissue Factor in Cancer	-0E00	2.48E-02	NaN	PIK3R1,PLCB1,RASD1
IL-17A Signaling in Airway Cells	-0E00	1.54E-02	NaN	PIK3R1
Signaling by Rho Family GTPases	-0E00	3.28E-02	NaN	ARHGEF12,CDC42EP3,FOS,JUN,PIK3R1,PLD1,RAC2,RND3
RhoGDI Signaling	-0E00	1.67E-02	NaN	ARHGEF12,RAC2,RND3
Sertoli Cell-Sertoli Cell Junction Signaling	-0E00	2.69E-02	NaN	A2M,ACTN2,ATF2,JUN,RASD1
Melatonin Degradation I	-0E00	1.67E-02	NaN	CYP1A1
Estrogen Biosynthesis	-0E00	2.44E-02	NaN	CYP1A1
Dermatan Sulfate Biosynthesis	-0E00	1.69E-02	NaN	DSEL
tRNA Charging	-0E00	2.56E-02	NaN	IARS
Dermatan Sulfate Biosynthesis (Late Stages)	-0E00	2.17E-02	NaN	DSEL
Nicotine Degradation II	-0E00	3.08E-02	NaN	ADH7,CYP1A1
Serotonin Degradation	-0E00	2.99E-02	NaN	ADH7,ALDH1A2
Retinol Biosynthesis	-0E00	2.38E-02	NaN	LPL
Salvage Pathways of Pyrimidine Ribonucleotides	-0E00	3.09E-02	NaN	GRK4,PRKCH,PRKX
Superpathway of Melatonin Degradation	-0E00	1.54E-02	NaN	CYP1A1
Acetone Degradation I (to Methylglyoxal)	-0E00	3.33E-02	NaN	CYP1A1
