Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Huntington's Disease Signaling	-0E00	8.4E-03	NaN	HAP1,STX16
Aryl Hydrocarbon Receptor Signaling	-0E00	6.99E-03	NaN	CDK6
LXR/RXR Activation	-0E00	8.26E-03	NaN	LDLR
FXR/RXR Activation	-0E00	7.94E-03	NaN	PCK2
IL-12 Signaling and Production in Macrophages	-0E00	7.52E-03	NaN	MAPK11
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	-0E00	6.45E-03	NaN	SYK
fMLP Signaling in Neutrophils	-0E00	8.55E-03	NaN	MRAS
CD28 Signaling in T Helper Cells	-0E00	8.26E-03	NaN	SYK
Virus Entry via Endocytic Pathways	-0E00	9.26E-03	NaN	MRAS
HGF Signaling	-0E00	8.93E-03	NaN	MRAS
Androgen Signaling	-0E00	7.35E-03	NaN	MRAS
Aldosterone Signaling in Epithelial Cells	-0E00	6.29E-03	NaN	NOTUM
G Beta Gamma Signaling	-0E00	8.2E-03	NaN	MRAS
Systemic Lupus Erythematosus Signaling	-0E00	4.33E-03	NaN	MRAS
EIF2 Signaling	-0E00	4.44E-03	NaN	MRAS
PKCθ Signaling in T Lymphocytes	-0E00	6.41E-03	NaN	MRAS
Dopamine-DARPP32 Feedback in cAMP Signaling	-0E00	6.13E-03	NaN	NOTUM
NGF Signaling	-0E00	8.7E-03	NaN	MRAS
Telomerase Signaling	-0E00	9.26E-03	NaN	MRAS
Gαi Signaling	-0E00	8E-03	NaN	MRAS
Gαs Signaling	-0E00	9.35E-03	NaN	MRAS
Granulocyte Adhesion and Diapedesis	-0E00	5.59E-03	NaN	CLDN7
Adipogenesis pathway	-0E00	7.46E-03	NaN	FZD5
SAPK/JNK Signaling	-0E00	9.71E-03	NaN	MRAS
PTEN Signaling	-0E00	7.94E-03	NaN	MRAS
Cardiac β-adrenergic Signaling	-0E00	7.14E-03	NaN	MRAS
Protein Ubiquitination Pathway	-0E00	7.33E-03	NaN	PSMB10,UBE2E2
p38 MAPK Signaling	-0E00	8.47E-03	NaN	MAPK11
T Cell Receptor Signaling	-0E00	9.43E-03	NaN	MRAS
G-Protein Coupled Receptor Signaling	-0E00	7.35E-03	NaN	MRAS,PTK2B
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	-0E00	8.93E-03	NaN	NOTUM
Th1 and Th2 Activation Pathway	-0E00	5.78E-03	NaN	NOTCH3
Th1 Pathway	-0E00	8.13E-03	NaN	NOTCH3
Th2 Pathway	-0E00	7.25E-03	NaN	NOTCH3
Sirtuin Signaling Pathway	-0E00	3.42E-03	NaN	PCK2
Opioid Signaling Pathway	-0E00	4E-03	NaN	MRAS
Apelin Endothelial Signaling Pathway	-0E00	8.62E-03	NaN	MRAS
Systemic Lupus Erythematosus In T Cell Signaling Pathway	-0E00	8.96E-03	NaN	MRAS,RHOC,SYK
Calcium Signaling	-0E00	4.85E-03	NaN	MYH14
